pixel,current_gps_lat,current_gps_lon,current_gps_alt,true_attitude_roll,true_attitude_pitch,true_attitude_yaw,estimated_gps_lat,estimated_gps_lon,timestamp
"(None, None)",40.9588861,29.1357975,-0.015,0.0013141944073140621,0.0010679991682991385,0.025165433064103127,,,1757037095.4508905
"(None, None)",40.9588861,29.1357975,-0.015,0.0013278735568746924,0.001095379120670259,0.02500401996076107,,,1757037096.7827342
"(None, None)",40.9588861,29.1357975,-0.015,0.0014462184626609087,0.0012065673945471644,0.024845842272043228,,,1757037096.9199011
"(None, None)",40.9588861,29.1357975,-0.015,0.0015561322215944529,0.001313595101237297,0.024691203609108925,,,1757037097.051622
"(None, None)",40.9588861,29.1357975,-0.015,0.001599501702003181,0.001357760396786034,0.024627534672617912,,,1757037097.1882155
"(None, None)",40.9588861,29.1357975,-0.015,0.001599501702003181,0.001357760396786034,0.024627534672617912,,,1757037097.319707
"(None, None)",40.9588861,29.1357975,-0.015,0.001637130742892623,0.0013875639997422695,0.024556754156947136,,,1757037097.4510098
"(None, None)",40.9588861,29.1357975,-0.015,0.001637130742892623,0.0013875639997422695,0.024556754156947136,,,1757037097.5876546
"(None, None)",40.9588861,29.1357975,-0.015,0.001662923488765955,0.0014153769006952643,0.024497011676430702,,,1757037097.717908
"(None, None)",40.9588861,29.1357975,-0.015,0.001662923488765955,0.0014153769006952643,0.024497011676430702,,,1757037097.856019
"(None, None)",40.9588861,29.1357975,-0.015,0.0016703587025403976,0.0014342996291816235,0.024424603208899498,,,1757037097.9862194
"(None, None)",40.9588861,29.1357975,-0.015,0.0016703587025403976,0.0014342996291816235,0.024424603208899498,,,1757037098.1187606
"(None, None)",40.9588861,29.1357975,-0.015,0.0016709970077499747,0.0014355076709762216,0.024375559762120247,,,1757037098.2550697
"(None, None)",40.9588861,29.1357975,-0.015,0.0016654670471325517,0.0014261556789278984,0.024307426065206528,,,1757037098.387895
"(None, None)",40.9588861,29.1357975,-0.015,0.0016654670471325517,0.0014261556789278984,0.024307426065206528,,,1757037098.5195107
"(None, None)",40.9588861,29.1357976,-0.016,0.0016258142422884703,0.00138763221912086,0.02425340563058853,,,1757037098.6542802
"(None, None)",40.9588861,29.1357976,-0.016,0.0016258142422884703,0.00138763221912086,0.02425340563058853,,,1757037098.78682
"(None, None)",40.9588861,29.1357976,-0.016,0.001604117569513619,0.0013662183191627264,0.02417657896876335,,,1757037098.9245043
"(None, None)",40.9588861,29.1357976,-0.016,0.001604117569513619,0.0013662183191627264,0.02417657896876335,,,1757037099.0557687
"(None, None)",40.958886,29.1357976,-0.016,0.0015699852956458926,0.0013316855765879154,0.02412506192922592,,,1757037099.187178
"(None, None)",40.958886,29.1357976,-0.016,0.0015699852956458926,0.0013316855765879154,0.02412506192922592,,,1757037099.323626
"(None, None)",40.958886,29.1357976,-0.016,0.001524655381217599,0.001287563587538898,0.024052634835243225,,,1757037099.4551833
"(None, None)",40.958886,29.1357976,-0.016,0.001524655381217599,0.001287563587538898,0.024052634835243225,,,1757037099.5869846
"(None, None)",40.958886,29.1357976,-0.016,0.0014755427837371826,0.0012389045441523194,0.024000512436032295,,,1757037099.7230875
"(None, None)",40.958886,29.1357976,-0.016,0.0014755427837371826,0.0012389045441523194,0.024000512436032295,,,1757037099.854579
"(None, None)",40.958886,29.1357976,-0.016,0.0014297253219410777,0.00119708979036659,0.023927045986056328,,,1757037099.9906523
"(None, None)",40.958886,29.1357976,-0.016,0.0014297253219410777,0.00119708979036659,0.023927045986056328,,,1757037100.1235518
"(None, None)",40.958886,29.1357976,-0.016,0.0013913899892941117,0.00115859298966825,0.023875469341874123,,,1757037100.2540014
"(None, None)",40.958886,29.1357976,-0.016,0.0013512448640540242,0.0011184883769601583,0.023795899003744125,,,1757037100.3919713
"(None, None)",40.958886,29.1357976,-0.016,0.0013512448640540242,0.0011184883769601583,0.023795899003744125,,,1757037100.5220366
"(None, None)",40.958886,29.1357976,-0.016,0.0013019534526392817,0.0010695088421925902,0.023734744638204575,,,1757037100.6548226
"(None, None)",40.958886,29.1357976,-0.016,0.0013019534526392817,0.0010695088421925902,0.023734744638204575,,,1757037100.7900503
"(None, None)",40.958886,29.1357976,-0.016,0.0012674072058871388,0.0010364855406805873,0.02367524988949299,,,1757037100.9226837
"(None, None)",40.958886,29.1357976,-0.016,0.0012674072058871388,0.0010364855406805873,0.02367524988949299,,,1757037101.05833
"(None, None)",40.958886,29.1357976,-0.016,0.0012387430761009455,0.0010204048594459891,0.02360956184566021,,,1757037101.190116
"(None, None)",40.958886,29.1357976,-0.016,0.0012387430761009455,0.0010204048594459891,0.02360956184566021,,,1757037101.32278
"(None, None)",40.958886,29.1357976,-0.016,0.0012109053786844015,0.0009875815594568849,0.02353482134640217,,,1757037101.4583938
"(None, None)",40.958886,29.1357976,-0.016,0.0012109053786844015,0.0009875815594568849,0.02353482134640217,,,1757037101.5902038
"(None, None)",40.958886,29.1357976,-0.016,0.0011837416095659137,0.0009630325366742909,0.023470381274819374,,,1757037101.722338
"(None, None)",40.958886,29.1357976,-0.016,0.0011837416095659137,0.0009630325366742909,0.023470381274819374,,,1757037101.8583713
"(None, None)",40.958886,29.1357976,-0.016,0.001165818888694048,0.0009511291864328086,0.02338949777185917,,,1757037101.990315
"(None, None)",40.958886,29.1357976,-0.016,0.001165818888694048,0.0009511291864328086,0.02338949777185917,,,1757037102.1263957
"(None, None)",40.958886,29.1357976,-0.016,0.0011523186694830656,0.0009400554117746651,0.02332029677927494,,,1757037102.2591627
"(None, None)",40.958886,29.1357976,-0.016,0.0011398454662412405,0.0009300506208091974,0.023244114592671394,,,1757037102.3905196
"(None, None)",40.958886,29.1357976,-0.016,0.0011398454662412405,0.0009300506208091974,0.023244114592671394,,,1757037102.5258832
"(None, None)",40.958886,29.1357976,-0.016,0.0011256468715146184,0.0009180504130199552,0.023182932287454605,,,1757037102.6583364
"(None, None)",40.958886,29.1357976,-0.016,0.0011256468715146184,0.0009180504130199552,0.023182932287454605,,,1757037102.7908373
"(None, None)",40.958886,29.1357976,-0.016,0.0011061535915359855,0.0009012998198159039,0.023104483261704445,,,1757037102.9264555
"(None, None)",40.958886,29.1357976,-0.016,0.0011061535915359855,0.0009012998198159039,0.023104483261704445,,,1757037103.0588539
"(None, None)",40.958886,29.1357976,-0.016,0.0011079073883593082,0.000898214871995151,0.023041537031531334,,,1757037103.1944337
"(None, None)",40.958886,29.1357976,-0.016,0.0011079073883593082,0.000898214871995151,0.023041537031531334,,,1757037103.326432
"(None, None)",40.958886,29.1357976,-0.016,0.00110725499689579,0.0008884493145160377,0.022960295900702477,,,1757037103.4584746
"(None, None)",40.958886,29.1357976,-0.016,0.00110725499689579,0.0008884493145160377,0.022960295900702477,,,1757037103.5943117
"(None, None)",40.958886,29.1357976,-0.016,0.0010970893781632185,0.0008851087186485529,0.02289559505879879,,,1757037103.7261875
"(None, None)",40.958886,29.1357976,-0.016,0.0010970893781632185,0.0008851087186485529,0.02289559505879879,,,1757037103.8621569
"(None, None)",40.958886,29.1357976,-0.016,0.001095346175134182,0.0008802045485936105,0.022825142368674278,,,1757037103.9942026
"(None, None)",40.958886,29.1357976,-0.016,0.001095346175134182,0.0008802045485936105,0.022825142368674278,,,1757037104.1262426
"(None, None)",40.958886,29.1357976,-0.016,0.0010959978681057692,0.0008842710522003472,0.022768456488847733,,,1757037104.2627356
"(None, None)",40.958886,29.1357976,-0.016,0.0010983727406710386,0.0008861233363859355,0.022693559527397156,,,1757037104.3946803
"(None, None)",40.958886,29.1357976,-0.016,0.0010983727406710386,0.0008861233363859355,0.022693559527397156,,,1757037104.525972
"(None, None)",40.958886,29.1357976,-0.016,0.001097082975320518,0.0008866157149896026,0.022641874849796295,,,1757037104.662214
"(None, None)",40.958886,29.1357976,-0.016,0.001097082975320518,0.0008866157149896026,0.022641874849796295,,,1757037104.794115
"(None, None)",40.958886,29.1357976,-0.016,0.0010931463912129402,0.00088342564413324,0.02256685681641102,,,1757037104.9311807
"(None, None)",40.958886,29.1357976,-0.016,0.0010931463912129402,0.00088342564413324,0.02256685681641102,,,1757037105.0633106
"(None, None)",40.958886,29.1357976,-0.016,0.0010945831891149282,0.0008832889725454152,0.022517891600728035,,,1757037105.1956587
"(None, None)",40.958886,29.1357976,-0.016,0.0010945831891149282,0.0008832889725454152,0.022517891600728035,,,1757037105.3320017
"(None, None)",40.958886,29.1357976,-0.016,0.0010969432769343257,0.0008894973434507847,0.02244880609214306,,,1757037105.4634478
"(None, None)",40.958886,29.1357976,-0.016,0.0010969432769343257,0.0008894973434507847,0.02244880609214306,,,1757037105.596032
"(None, None)",40.958886,29.1357976,-0.016,0.0010936782928183675,0.0008908893214538693,0.022392570972442627,,,1757037105.7320335
"(None, None)",40.958886,29.1357976,-0.016,0.0010936782928183675,0.0008908893214538693,0.022392570972442627,,,1757037105.8641064
"(None, None)",40.958886,29.1357976,-0.016,0.0010956607293337584,0.0008906323928385973,0.02232261188328266,,,1757037105.9996636
"(None, None)",40.958886,29.1357976,-0.016,0.001101418398320675,0.0008908354211598635,0.02227189764380455,,,1757037106.1310842
"(None, None)",40.958886,29.1357976,-0.016,0.001101418398320675,0.0008908354211598635,0.02227189764380455,,,1757037106.263222
"(None, None)",40.958886,29.1357976,-0.016,0.0011017476208508015,0.0008953968062996864,0.022206325083971024,,,1757037106.3996167
"(None, None)",40.958886,29.1357976,-0.016,0.0011017476208508015,0.0008953968062996864,0.022206325083971024,,,1757037106.53018
"(None, None)",40.958886,29.1357976,-0.016,0.0010968343121930957,0.00089523836504668,0.022156840190291405,,,1757037106.6642272
"(None, None)",40.958886,29.1357976,-0.016,0.0010968343121930957,0.00089523836504668,0.022156840190291405,,,1757037106.7997627
"(None, None)",40.958886,29.1357976,-0.016,0.0010950459400191903,0.0008935366640798748,0.022109583020210266,,,1757037106.9321043
"(None, None)",40.958886,29.1357976,-0.016,0.0010950459400191903,0.0008935366640798748,0.022109583020210266,,,1757037107.0675435
"(None, None)",40.958886,29.1357976,-0.016,0.0010985428234562278,0.0008980446727946401,0.0220588780939579,,,1757037107.1995597
"(None, None)",40.958886,29.1357976,-0.016,0.0010985428234562278,0.0008980446727946401,0.0220588780939579,,,1757037107.331356
"(None, None)",40.958886,29.1357976,-0.016,0.001098742475733161,0.0009016599506139755,0.021999340504407883,,,1757037107.467075
"(None, None)",40.958886,29.1357976,-0.016,0.001098742475733161,0.0009016599506139755,0.021999340504407883,,,1757037107.5990133
"(None, None)",40.958886,29.1357976,-0.016,0.0011041680118069053,0.0008994473610073328,0.021945923566818237,,,1757037107.7314336
"(None, None)",40.958886,29.1357976,-0.016,0.0011041680118069053,0.0008994473610073328,0.021945923566818237,,,1757037107.866945
