pixel,gps_true,drone_gps,drone_attitude
"(536, 181)","(-35.363261, 149.1652383)","(-35.36324026115781, 149.1652591366597)","(-0.0013662774581462145, 0.001527941320091486, 0.9095247983932495)"
"(536, 186)","(-35.363261, 149.1652383)","(-35.36324068063481, 149.1652595174758)","(0.004913057666271925, 0.0016879069153219461, 0.9096091985702515)"
"(537, 184)","(-35.363261, 149.1652383)","(-35.363240409325115, 149.16525937308205)","(0.0007125652628019452, 0.0015337372897192836, 0.9094493389129639)"
"(537, 181)","(-35.363261, 149.1652383)","(-35.36324022467191, 149.16525919578305)","(-0.0013435095315799117, 0.0016448701499029994, 0.9095433950424194)"
"(537, 185)","(-35.363261, 149.1652383)","(-35.36324059127249, 149.1652595260641)","(0.004511987324804068, 0.0018084057373926044, 0.9095914363861084)"
"(538, 182)","(-35.363261, 149.1652383)","(-35.36324027848952, 149.16525935023486)","(0.00022963683295529336, 0.0015631681308150291, 0.9096475839614868)"
"(538, 181)","(-35.363261, 149.1652383)","(-35.36324019018042, 149.16525927321143)","(-0.001069305231794715, 0.0014826637925580144, 0.9094952940940857)"
"(538, 185)","(-35.363261, 149.1652383)","(-35.36324053855941, 149.16525958778547)","(0.004256850574165583, 0.001580791431479156, 0.9096249938011169)"
"(538, 183)","(-35.363261, 149.1652383)","(-35.363240320691844, 149.16525939529183)","(0.00042727592517621815, 0.0014947624877095222, 0.9096066951751709)"
"(538, 181)","(-35.363261, 149.1652383)","(-35.36324018294291, 149.1652592573422)","(-0.0013386370847001672, 0.0015980504686012864, 0.9093770384788513)"
"(539, 185)","(-35.363261, 149.1652383)","(-35.36324049234696, 149.16525964249627)","(0.00407569482922554, 0.0016341713489964604, 0.9095898270606995)"
"(539, 182)","(-35.363261, 149.1652383)","(-35.36324023008941, 149.16525936383314)","(-0.0004141446843277663, 0.0020705515053123236, 0.9094419479370117)"
"(539, 181)","(-35.363261, 149.1652383)","(-35.363240141005114, 149.16525924174667)","(-0.0023267066571861506, 0.0025402253959327936, 0.9095349907875061)"
"(539, 186)","(-35.363261, 149.1652383)","(-35.363240539055276, 149.1652596309733)","(0.003717599669471383, 0.002372289542108774, 0.9095239043235779)"
"(540, 184)","(-35.363261, 149.1652383)","(-35.363240271826534, 149.16525959202883)","(-0.00037142488872632384, 0.002202322706580162, 0.9094370007514954)"
"(540, 184)","(-35.363261, 149.1652383)","(-35.36324020078135, 149.16525955001754)","(-0.0020595008973032236, 0.0018904038006439805, 0.9093764424324036)"
"(539, 188)","(-35.363261, 149.1652383)","(-35.36324059137548, 149.1652598139772)","(0.0033979639410972595, 0.0019540649373084307, 0.9096986651420593)"
