pixel,gps_true,drone_gps,drone_attitude
"(323, 224)","(-35.3632612, 149.1652381, 9.57)","(-35.363260280251566, 149.16523406536038, 0)","(0.0027932242956012487, -0.0011898495722562075, 0.2796092629432678)"
"(323, 227)","(-35.3632612, 149.1652381, 9.57)","(-35.36326025111574, 149.16523395920512, 0)","(-0.0014053115155547857, -0.0012340029934421182, 0.2797016501426697)"
"(323, 223)","(-35.3632612, 149.1652381, 9.57)","(-35.36326011818113, 149.16523335245583, 0)","(-0.00286953616887331, -0.0011366182006895542, 0.2796455919742584)"
"(323, 223)","(-35.3632612, 149.1652381, 9.57)","(-35.36326025827862, 149.1652339125897, 0)","(0.0024516633711755276, -0.0010409550741314888, 0.2796795964241028)"
"(323, 227)","(-35.3632612, 149.1652381, 9.57)","(-35.36326025824748, 149.16523395470816, 0)","(-0.0014226813800632954, -0.0011462596012279391, 0.27970704436302185)"
"(324, 225)","(-35.3632612, 149.1652381, 9.57)","(-35.36326007365636, 149.16523352048003, 0)","(-0.0027847522869706154, -0.0008725542575120926, 0.27954795956611633)"
"(323, 222)","(-35.3632612, 149.1652381, 9.57)","(-35.363260305886946, 149.16523375545896, 0)","(0.003161726053804159, -0.00038941254024393857, 0.27955105900764465)"
"(324, 227)","(-35.3632612, 149.1652381, 9.57)","(-35.36326022043623, 149.16523390494066, 0)","(-0.0010998776415362954, -0.0002642555336933583, 0.2796182334423065)"
"(324, 222)","(-35.3632612, 149.1652381, 9.57)","(-35.36326005114024, 149.16523317216746, 0)","(-0.0027155110146850348, -0.0002417166397208348, 0.2795155644416809)"
"(324, 222)","(-35.3632612, 149.1652381, 9.57)","(-35.363260172717446, 149.16523375800998, 0)","(0.002776140347123146, -0.000411542656365782, 0.27931514382362366)"
"(324, 227)","(-35.3632612, 149.1652381, 9.57)","(-35.36326019322195, 149.16523387531865, 0)","(-0.0014401255175471306, -0.00048215012066066265, 0.2795287072658539)"
"(324, 225)","(-35.3632612, 149.1652381, 9.57)","(-35.36326008077633, 149.16523345998564, 0)","(-0.0032888383138924837, -0.0006448096828535199, 0.27950385212898254)"
"(323, 223)","(-35.3632612, 149.1652381, 9.57)","(-35.363260269001444, 149.16523378724114, 0)","(0.0022684477735310793, -0.0008676988072693348, 0.27928614616394043)"
"(324, 227)","(-35.3632612, 149.1652381, 9.57)","(-35.36326013198729, 149.16523384507522, 0)","(-0.0018906831974163651, -0.0010615780483931303, 0.27951666712760925)"
"(323, 224)","(-35.3632612, 149.1652381, 9.57)","(-35.36326013413021, 149.16523330799484, 0)","(-0.0033889352343976498, -0.0011072657071053982, 0.27945902943611145)"
"(322, 223)","(-35.3632612, 149.1652381, 9.57)","(-35.36326036330487, 149.16523371689078, 0)","(0.0019449156243354082, -0.0010936075123026967, 0.27940112352371216)"
"(322, 229)","(-35.3632612, 149.1652381, 9.57)","(-35.36326039334123, 149.16523389648046, 0)","(-0.0027580701280385256, -0.001221515005454421, 0.2794150412082672)"
"(323, 226)","(-35.3632612, 149.1652381, 9.57)","(-35.36326017126844, 149.165233542232, 0)","(-0.0033502555452287197, -0.0012996825389564037, 0.27928903698921204)"
"(322, 225)","(-35.3632612, 149.1652381, 9.57)","(-35.36326035359329, 149.16523393707115, 0)","(0.0017164894379675388, -0.0017492808401584625, 0.27939432859420776)"
"(322, 229)","(-35.3632612, 149.1652381, 9.57)","(-35.363260321809776, 149.16523387899602, 0)","(-0.0031290543265640736, -0.001942667062394321, 0.2794470191001892)"
"(321, 225)","(-35.3632612, 149.1652381, 9.57)","(-35.36326033317695, 149.16523330950534, 0)","(-0.0038223210722208023, -0.0018116971477866173, 0.27928444743156433)"
"(321, 225)","(-35.3632612, 149.1652381, 9.57)","(-35.36326047039574, 149.16523389842007, 0)","(0.0017379657365381718, -0.0018169265240430832, 0.2793329060077667)"
"(321, 230)","(-35.3632612, 149.1652381, 9.57)","(-35.36326050035683, 149.16523401952784, 0)","(-0.0024155995342880487, -0.0017987232422456145, 0.2793823778629303)"
"(321, 226)","(-35.3632612, 149.1652381, 9.57)","(-35.36326038299575, 149.16523340440253, 0)","(-0.0039033181965351105, -0.0015173610299825668, 0.27922314405441284)"
"(321, 226)","(-35.3632612, 149.1652381, 9.57)","(-35.363260537132206, 149.16523402416865, 0)","(0.001980234170332551, -0.0014171304646879435, 0.2793448865413666)"
"(322, 229)","(-35.3632612, 149.1652381, 9.57)","(-35.36326039892335, 149.16523392157052, 0)","(-0.002521239686757326, -0.0012268547434359789, 0.2792571485042572)"
"(322, 224)","(-35.3632612, 149.1652381, 9.57)","(-35.36326025111344, 149.16523322998341, 0)","(-0.003709325334057212, -0.0010801814496517181, 0.27913999557495117)"
"(322, 226)","(-35.3632612, 149.1652381, 9.57)","(-35.36326044246128, 149.16523401723316, 0)","(0.001629135338589549, -0.0009998168097808957, 0.27929723262786865)"
"(322, 230)","(-35.3632612, 149.1652381, 9.57)","(-35.36326041521531, 149.16523388994426, 0)","(-0.003808120032772422, -0.000972589070443064, 0.2792970836162567)"
"(323, 226)","(-35.3632612, 149.1652381, 9.57)","(-35.363260209072884, 149.16523358701807, 0)","(-0.002842575777322054, -0.001009392668493092, 0.2791580557823181)"
"(322, 227)","(-35.3632612, 149.1652381, 9.57)","(-35.363260458585565, 149.16523421703621, 0)","(0.0014908781740814447, -0.0010771601228043437, 0.2792600095272064)"
"(323, 231)","(-35.3632612, 149.1652381, 9.57)","(-35.36326029220703, 149.1652341286374, 0)","(-0.004034117795526981, -0.0012222588993608952, 0.2792900800704956)"
"(323, 225)","(-35.3632612, 149.1652381, 9.57)","(-35.36326019102707, 149.1652336465294, 0)","(-0.002191079780459404, -0.0011007579741999507, 0.27918916940689087)"
"(323, 226)","(-35.3632612, 149.1652381, 9.57)","(-35.3632603196985, 149.16523417547802, 0)","(0.001763035892508924, -0.0010478366166353226, 0.2791121304035187)"
"(323, 229)","(-35.3632612, 149.1652381, 9.57)","(-35.36326026234226, 149.1652339361248, 0)","(-0.0036846385337412357, -0.0010614129714667797, 0.2791944146156311)"
"(323, 225)","(-35.3632612, 149.1652381, 9.57)","(-35.36326021504176, 149.1652336842152, 0)","(-0.001788045628927648, -0.000939209945499897, 0.279119610786438)"
"(323, 227)","(-35.3632612, 149.1652381, 9.57)","(-35.363260348405696, 149.16523430121129, 0)","(0.0018867431208491325, -0.0010547650745138526, 0.279185026884079)"
"(323, 229)","(-35.3632612, 149.1652381, 9.57)","(-35.363260255675605, 149.16523393302217, 0)","(-0.003733761142939329, -0.0011254369746893644, 0.2792024314403534)"
"(459, 190)","(-35.3632612, 149.1652381, 9.57)","(-35.363277183153585, 149.1652077958266, 0)","(-0.0022618169896304607, -0.0006965826032683253, 4.455355350171224)"
"(459, 186)","(-35.3632612, 149.1652381, 9.57)","(-35.36327742968168, 149.1652078705151, 0)","(-0.0015369344037026167, -0.0018359627574682236, 4.455741826687948)"
"(458, 193)","(-35.3632612, 149.1652381, 9.57)","(-35.36327675747294, 149.16520771709756, 0)","(0.0010657317470759153, -0.0024950585793703794, 4.456191126500265)"
"(458, 194)","(-35.3632612, 149.1652381, 9.57)","(-35.36327713667755, 149.16520781520592, 0)","(-0.005765138193964958, -0.0026836111210286617, 4.4564306179629725)"
"(458, 190)","(-35.3632612, 149.1652381, 9.57)","(-35.36327708889943, 149.1652078386593, 0)","(-0.0024142113979905844, -0.002622914034873247, 4.456742827092306)"
"(457, 194)","(-35.3632612, 149.1652381, 9.57)","(-35.363276612876525, 149.1652078172864, 0)","(0.000156649126438424, -0.0025149688590317965, 4.4571256081210535)"
"(457, 194)","(-35.3632612, 149.1652381, 9.57)","(-35.36327696866407, 149.16520804793623, 0)","(-0.005382992327213287, -0.002260261680930853, 4.457356635724203)"
"(457, 190)","(-35.3632612, 149.1652381, 9.57)","(-35.36327702202123, 149.16520809597355, 0)","(-0.0021183742210268974, -0.001953598577529192, 4.457596604024069)"
"(457, 195)","(-35.3632612, 149.1652381, 9.57)","(-35.36327646654502, 149.16520794127447, 0)","(0.0009975832654163241, -0.0017233957769349217, 4.457689706479208)"
"(457, 194)","(-35.3632612, 149.1652381, 9.57)","(-35.36327689444495, 149.16520806724856, 0)","(-0.004525178112089634, -0.0017733491258695722, 4.4580422083484095)"
"(457, 189)","(-35.3632612, 149.1652381, 9.57)","(-35.363276942785745, 149.16520806631797, 0)","(4.454153895494528e-05, -0.001992593752220273, 4.458210412655966)"
"(457, 193)","(-35.3632612, 149.1652381, 9.57)","(-35.36327657099674, 149.1652079630056, 0)","(0.0013947633560746908, -0.0018208601977676153, 4.4584965149508875)"
"(457, 192)","(-35.3632612, 149.1652381, 9.57)","(-35.36327698313278, 149.1652081019316, 0)","(-0.0038775396533310413, -0.0016809188527986407, 4.458515588437216)"
"(457, 187)","(-35.3632612, 149.1652381, 9.57)","(-35.363277012689856, 149.16520811599236, 0)","(0.0009018764249049127, -0.0016642706468701363, 4.458736483250753)"
"(457, 194)","(-35.3632612, 149.1652381, 9.57)","(-35.36327652877304, 149.16520796853894, 0)","(0.0008546749595552683, -0.0016121347434818745, 4.458814088498251)"
"(457, 192)","(-35.3632612, 149.1652381, 9.57)","(-35.363276985195654, 149.1652081109462, 0)","(-0.004043045919388533, -0.0015827512834221125, 4.4590304533587855)"
"(457, 187)","(-35.3632612, 149.1652381, 9.57)","(-35.36327700145241, 149.16520812197686, 0)","(0.0009352857014164329, -0.001581304706633091, 4.4592183271991175)"
"(457, 193)","(-35.3632612, 149.1652381, 9.57)","(-35.36327660478169, 149.16520800881935, 0)","(0.0006332604098133743, -0.0014387285336852074, 4.459121648465292)"
"(457, 190)","(-35.3632612, 149.1652381, 9.57)","(-35.36327714969599, 149.16520817981146, 0)","(-0.004569575190544128, -0.0013933404115960002, 4.459380690251486)"
"(458, 187)","(-35.3632612, 149.1652381, 9.57)","(-35.3632770063871, 149.16520800716273, 0)","(0.001153363729827106, -0.001519049284979701, 4.459512774144308)"
"(457, 193)","(-35.3632612, 149.1652381, 9.57)","(-35.363276623638455, 149.16520800868304, 0)","(0.00028461500187404454, -0.0014852324966341257, 4.45952815214266)"
"(457, 190)","(-35.3632612, 149.1652381, 9.57)","(-35.36327714405451, 149.165208161013, 0)","(-0.004475567024201155, -0.0015734635526314378, 4.459614817296163)"
"(457, 187)","(-35.3632612, 149.1652381, 9.57)","(-35.36327696005411, 149.16520811825825, 0)","(0.001443995744921267, -0.0014546625316143036, 4.459702912961141)"
"(457, 192)","(-35.3632612, 149.1652381, 9.57)","(-35.363276663937874, 149.1652080314782, 0)","(0.0006496491259895265, -0.001337575726211071, 4.4597935120212)"
"(458, 187)","(-35.3632612, 149.1652381, 9.57)","(-35.36327732620447, 149.16520812216606, 0)","(-0.00385405239649117, -0.0012605903903022408, 4.459941569958822)"
"(457, 186)","(-35.3632612, 149.1652381, 9.57)","(-35.363276977868196, 149.1652081350442, 0)","(0.002136748982593417, -0.0012666448019444942, 4.4600696007358)"
"(457, 191)","(-35.3632612, 149.1652381, 9.57)","(-35.36327675075907, 149.1652080727813, 0)","(0.00030799678643234074, -0.0011441968381404877, 4.4599754253970545)"
"(458, 188)","(-35.3632612, 149.1652381, 9.57)","(-35.363277271785414, 149.1652080862261, 0)","(-0.0040411073714494705, -0.0014374942984431982, 4.46008009115328)"
"(457, 186)","(-35.3632612, 149.1652381, 9.57)","(-35.36327702263492, 149.1652081393455, 0)","(0.0014614610699936748, -0.0013648068998008966, 4.460182849560873)"
"(457, 190)","(-35.3632612, 149.1652381, 9.57)","(-35.363276841798644, 149.16520806798079, 0)","(3.144401125609875e-05, -0.0015083240577951074, 4.460221115742819)"
"(457, 187)","(-35.3632612, 149.1652381, 9.57)","(-35.363277322353085, 149.16520822441717, 0)","(-0.004153071437031031, -0.0014103256398811936, 4.460228506718771)"
"(457, 185)","(-35.3632612, 149.1652381, 9.57)","(-35.363277094567664, 149.16520816125936, 0)","(0.0014065461000427604, -0.0013693002983927727, 4.460263673459188)"
"(457, 191)","(-35.3632612, 149.1652381, 9.57)","(-35.363276801539314, 149.16520805803057, 0)","(-0.00042019589454866946, -0.0014725475339218974, 4.4602230230914515)"
"(457, 188)","(-35.3632612, 149.1652381, 9.57)","(-35.36327726351882, 149.16520820195598, 0)","(-0.004322660155594349, -0.0014463445404544473, 4.460344735776083)"
"(457, 186)","(-35.3632612, 149.1652381, 9.57)","(-35.363277004538865, 149.16520813856064, 0)","(0.0016746566398069263, -0.0012981750769540668, 4.460428182278768)"
"(457, 191)","(-35.3632612, 149.1652381, 9.57)","(-35.363276829701, 149.16520807753267, 0)","(-0.0008844675030559301, -0.0013480556663125753, 4.460226480160848)"
"(458, 187)","(-35.3632612, 149.1652381, 9.57)","(-35.363277344269186, 149.16520813233427, 0)","(-0.00423578592017293, -0.001151278498582542, 4.460448209439413)"
"(458, 186)","(-35.3632612, 149.1652381, 9.57)","(-35.36327709974368, 149.16520805546418, 0)","(0.000579910643864423, -0.001207158900797367, 4.460324827824728)"
"(457, 192)","(-35.3632612, 149.1652381, 9.57)","(-35.36327671711892, 149.1652080576894, 0)","(-0.0003050485684070736, -0.0011675377609208226, 4.460402313862936)"
"(457, 188)","(-35.3632612, 149.1652381, 9.57)","(-35.36327730190108, 149.16520823023563, 0)","(-0.004995031747967005, -0.0012458089040592313, 4.460526529942648)"
"(458, 188)","(-35.3632612, 149.1652381, 9.57)","(-35.36327694277904, 149.1652079979191, 0)","(0.0008797027985565364, -0.0012977300211787224, 4.460368339215414)"
"(457, 193)","(-35.3632612, 149.1652381, 9.57)","(-35.363276677716854, 149.16520803737433, 0)","(-0.0007421623449772596, -0.001250960398465395, 4.460432473813192)"
"(458, 188)","(-35.3632612, 149.1652381, 9.57)","(-35.3632773328939, 149.16520811705053, 0)","(-0.005123824346810579, -0.0012620417401194572, 4.460656229649679)"
"(458, 188)","(-35.3632612, 149.1652381, 9.57)","(-35.363276929484954, 149.16520799948532, 0)","(0.0010155884083360434, -0.001220989623107016, 4.460619036351339)"
"(458, 193)","(-35.3632612, 149.1652381, 9.57)","(-35.36327676793785, 149.16520795230832, 0)","(-0.0017820387147367, -0.0011597357224673033, 4.460441295300619)"
"(458, 189)","(-35.3632612, 149.1652381, 9.57)","(-35.363277211122146, 149.16520808758526, 0)","(-0.0043464768677949905, -0.0011717318557202816, 4.460639063511984)"
"(458, 189)","(-35.3632612, 149.1652381, 9.57)","(-35.36327679205729, 149.16520795561703, 0)","(0.0020546927116811275, -0.0012356311781331897, 4.460644904767172)"
"(458, 193)","(-35.3632612, 149.1652381, 9.57)","(-35.36327676762758, 149.16520793385706, 0)","(-0.0017412911402061582, -0.0013619079254567623, 4.46054977575411)"
"(458, 188)","(-35.3632612, 149.1652381, 9.57)","(-35.3632772545884, 149.16520810371023, 0)","(-0.003956073895096779, -0.0011491506593301892, 4.460617963467733)"
"(458, 188)","(-35.3632612, 149.1652381, 9.57)","(-35.363276854917395, 149.1652079790002, 0)","(0.002129511907696724, -0.0011937525123357773, 4.46070117155184)"
"(458, 193)","(-35.3632612, 149.1652381, 9.57)","(-35.36327675717169, 149.16520794609613, 0)","(-0.0016154692275449634, -0.001191399060189724, 4.460475865994589)"
"(458, 189)","(-35.3632612, 149.1652381, 9.57)","(-35.36327718610418, 149.16520807602487, 0)","(-0.003948374185711145, -0.0012187922839075327, 4.4606162945376795)"
"(458, 190)","(-35.3632612, 149.1652381, 9.57)","(-35.36327673597417, 149.16520794534884, 0)","(0.0018432079814374447, -0.0011525093577802181, 4.460582439099447)"
"(458, 194)","(-35.3632612, 149.1652381, 9.57)","(-35.36327667097124, 149.1652079341105, 0)","(-0.0014322461793199182, -0.0010145563865080476, 4.460622374211447)"
"(459, 189)","(-35.3632612, 149.1652381, 9.57)","(-35.36327720700597, 149.16520800160907, 0)","(-0.004019307903945446, -0.0007727670599706471, 4.460566107426779)"
"(459, 189)","(-35.3632612, 149.1652381, 9.57)","(-35.36327683253178, 149.16520789239104, 0)","(0.0016541918739676476, -0.0007260885322466493, 4.460671607648031)"
"(459, 194)","(-35.3632612, 149.1652381, 9.57)","(-35.36327670066238, 149.16520784337, 0)","(-0.0015689560677856207, -0.0007854830473661423, 4.4605295101748865)"
"(459, 190)","(-35.3632612, 149.1652381, 9.57)","(-35.36327711302221, 149.1652079725207, 0)","(-0.0036510429345071316, -0.0007689895574003458, 4.460606400166647)"
"(459, 189)","(-35.3632612, 149.1652381, 9.57)","(-35.363276813152986, 149.1652078664677, 0)","(0.0020433003082871437, -0.0009613768779672682, 4.460514489804403)"
"(458, 194)","(-35.3632612, 149.1652381, 9.57)","(-35.363276692020925, 149.165207945564, 0)","(-0.0017467265715822577, -0.0009627726394683123, 4.460508529339926)"
"(459, 188)","(-35.3632612, 149.1652381, 9.57)","(-35.363277260281734, 149.16520800793216, 0)","(-0.0037566861137747765, -0.0008891368634067476, 4.460637871419088)"
"(459, 189)","(-35.3632612, 149.1652381, 9.57)","(-35.363276793120214, 149.16520784386546, 0)","(0.002393016591668129, -0.0011466534342616796, 4.460551683102743)"
"(458, 193)","(-35.3632612, 149.1652381, 9.57)","(-35.36327676093806, 149.165207950102, 0)","(-0.0017064394196495414, -0.0011524965520948172, 4.4606011549579065)"
"(458, 189)","(-35.3632612, 149.1652381, 9.57)","(-35.36327720974207, 149.165208089518, 0)","(-0.004321793559938669, -0.0011484315618872643, 4.460582915936605)"
"(458, 190)","(-35.3632612, 149.1652381, 9.57)","(-35.363276734266194, 149.16520794719906, 0)","(0.0018588411621749401, -0.0011249324306845665, 4.460597817097799)"
"(458, 194)","(-35.3632612, 149.1652381, 9.57)","(-35.36327668413655, 149.1652079307081, 0)","(-0.0015677075134590268, -0.001109005999751389, 4.460407201443807)"
"(458, 188)","(-35.3632612, 149.1652381, 9.57)","(-35.363277250168686, 149.16520810891137, 0)","(-0.0039183772169053555, -0.001072472077794373, 4.460664455090658)"
"(458, 188)","(-35.3632612, 149.1652381, 9.57)","(-35.36327686492632, 149.16520798543695, 0)","(0.001998295309022069, -0.0011637512361630797, 4.460538212453024)"
"(458, 193)","(-35.3632612, 149.1652381, 9.57)","(-35.36327675127074, 149.16520795247777, 0)","(-0.0015659054042771459, -0.0011219341540709138, 4.460518185292379)"
"(458, 188)","(-35.3632612, 149.1652381, 9.57)","(-35.363277225959976, 149.1652081096424, 0)","(-0.003556567244231701, -0.0010146782733500004, 4.4605329672442835)"
"(458, 190)","(-35.3632612, 149.1652381, 9.57)","(-35.36327673077447, 149.16520795226825, 0)","(0.0019126551924273372, -0.0010875790612772107, 4.460464064274923)"
"(458, 194)","(-35.3632612, 149.1652381, 9.57)","(-35.36327672984099, 149.16520793741716, 0)","(-0.002272452460601926, -0.0012356098741292953, 4.46049410501589)"
"(458, 187)","(-35.3632612, 149.1652381, 9.57)","(-35.36327728669441, 149.16520811509642, 0)","(-0.00336781470105052, -0.0011755205923691392, 4.4604520241366785)"
"(458, 189)","(-35.3632612, 149.1652381, 9.57)","(-35.36327680419368, 149.1652079715642, 0)","(0.0018647940596565604, -0.001132451114244759, 4.460440460835592)"
"(458, 193)","(-35.3632612, 149.1652381, 9.57)","(-35.36327676587572, 149.16520796692626, 0)","(-0.0018067230703309178, -0.0010118520585820079, 4.460450951253073)"
"(458, 188)","(-35.3632612, 149.1652381, 9.57)","(-35.363277234896415, 149.16520811470778, 0)","(-0.0036800100933760405, -0.0009663960663601756, 4.460468832646505)"
"(457, 192)","(-35.3632612, 149.1652381, 9.57)","(-35.36327655763181, 149.16520802868698, 0)","(0.0020724553614854813, -0.0009500199230387807, 4.460372630749838)"
"(458, 194)","(-35.3632612, 149.1652381, 9.57)","(-35.363276731241164, 149.16520795173605, 0)","(-0.0023144835140556097, -0.0010305129690095782, 4.460445109997885)"
"(458, 187)","(-35.3632612, 149.1652381, 9.57)","(-35.36327728805791, 149.16520812560947, 0)","(-0.0034084694925695658, -0.0010372517863288522, 4.460430685673849)"
"(458, 190)","(-35.3632612, 149.1652381, 9.57)","(-35.36327672956726, 149.16520794502838, 0)","(0.0019817103166133165, -0.0011192907113581896, 4.460382048283712)"
"(457, 193)","(-35.3632612, 149.1652381, 9.57)","(-35.36327685010461, 149.16520809641054, 0)","(-0.0033743625972419977, -0.0011509557953104377, 4.460379187260763)"
"(458, 187)","(-35.3632612, 149.1652381, 9.57)","(-35.3632772201034, 149.16520808265346, 0)","(-0.002299047540873289, -0.0012934795813634992, 4.460410181676046)"
"(457, 192)","(-35.3632612, 149.1652381, 9.57)","(-35.363276532040345, 149.16520798484353, 0)","(0.002543544862419367, -0.0013506331015378237, 4.460535232220785)"
"(457, 193)","(-35.3632612, 149.1652381, 9.57)","(-35.36327685923208, 149.16520807629075, 0)","(-0.003459070110693574, -0.0014322135830298066, 4.460431996976034)"
"(458, 187)","(-35.3632612, 149.1652381, 9.57)","(-35.363277197765136, 149.16520806095096, 0)","(-0.0019039836479350924, -0.001438053441233933, 4.460407797490255)"
"(457, 190)","(-35.3632612, 149.1652381, 9.57)","(-35.36327669486963, 149.1652080329523, 0)","(0.0022215701173990965, -0.0013691488420590758, 4.460357610379354)"
"(457, 192)","(-35.3632612, 149.1652381, 9.57)","(-35.363276933484116, 149.16520810872754, 0)","(-0.003545366460457444, -0.0013070357963442802, 4.460373584424154)"
"(458, 187)","(-35.3632612, 149.1652381, 9.57)","(-35.363277173061405, 149.1652080743215, 0)","(-0.0016160699306055903, -0.001195751246996224, 4.460524980221884)"
"(457, 193)","(-35.3632612, 149.1652381, 9.57)","(-35.36327648875664, 149.16520800354303, 0)","(0.002086847787722945, -0.0009637053590267897, 4.4603591601001185)"
"(457, 192)","(-35.3632612, 149.1652381, 9.57)","(-35.363276938946036, 149.16520812648497, 0)","(-0.0036811900790780783, -0.0011240111198276281, 4.460384909306661)"
"(458, 187)","(-35.3632612, 149.1652381, 9.57)","(-35.363277158480166, 149.16520807533752, 0)","(-0.0013768168864771724, -0.0011445999843999743, 4.460351053868429)"
"(457, 192)","(-35.3632612, 149.1652381, 9.57)","(-35.36327657937775, 149.1652080237398, 0)","(0.0017661842284724116, -0.0010515062604099512, 4.460459415112631)"
"(457, 192)","(-35.3632612, 149.1652381, 9.57)","(-35.36327694771533, 149.16520814795493, 0)","(-0.003870213171467185, -0.0009118306916207075, 4.460367027913229)"
"(458, 187)","(-35.3632612, 149.1652381, 9.57)","(-35.36327721233381, 149.16520811391237, 0)","(-0.0022787940688431263, -0.0008879238739609718, 4.460411016141073)"
"(458, 193)","(-35.3632612, 149.1652381, 9.57)","(-35.363276540729245, 149.16520788926186, 0)","(0.0016931365244090557, -0.0010478708427399397, 4.460358564053671)"
"(458, 193)","(-35.3632612, 149.1652381, 9.57)","(-35.36327691135643, 149.16520799736256, 0)","(-0.0039387047290802, -0.0010958967031911016, 4.46033484140505)"
"(458, 187)","(-35.3632612, 149.1652381, 9.57)","(-35.36327721187475, 149.1652081092596, 0)","(-0.00224863993935287, -0.0008870644378475845, 4.4604414145099085)"
"(458, 192)","(-35.3632612, 149.1652381, 9.57)","(-35.363276652754244, 149.16520795231858, 0)","(0.0009849421912804246, -0.000710424268618226, 4.4602254072772425)"
"(458, 193)","(-35.3632612, 149.1652381, 9.57)","(-35.36327696327173, 149.1652080505586, 0)","(-0.004836697597056627, -0.0006471506203524768, 4.460317675267355)"
"(459, 189)","(-35.3632612, 149.1652381, 9.57)","(-35.36327708904696, 149.16520796210025, 0)","(-0.0021555067505687475, -0.0007518529891967773, 4.460399452839987)"
"(529, 171)","(-35.3632612, 149.1652381, 9.57)","(-35.3632406177767, 149.1652583446974, 0)","(-0.002801913768053055, 0.0012684783432632685, 0.9118879437446594)"
"(530, 188)","(-35.3632612, 149.1652381, 9.57)","(-35.36324120651558, 149.165259050481, 0)","(-0.004230876918882132, -0.0008040768443606794, 0.9114304780960083)"
"(527, 198)","(-35.3632612, 149.1652381, 9.57)","(-35.36324182197535, 149.16525941805494, 0)","(0.0001880306372186169, -0.0019722958095371723, 0.9110967516899109)"
"(525, 199)","(-35.3632612, 149.1652381, 9.57)","(-35.36324171587663, 149.16525915472533, 0)","(-0.0055221496149897575, -0.0023813259322196245, 0.9106370806694031)"
"(524, 194)","(-35.3632612, 149.1652381, 9.57)","(-35.36324169144084, 149.16525883166923, 0)","(-0.004776311106979847, -0.002325350884348154, 0.9102293252944946)"
"(524, 198)","(-35.3632612, 149.1652381, 9.57)","(-35.36324201564323, 149.1652591385438, 0)","(0.00013315344403963536, -0.0023156562820076942, 0.9101270437240601)"
"(524, 199)","(-35.3632612, 149.1652381, 9.57)","(-35.363241880963244, 149.16525899900455, 0)","(-0.004748322535306215, -0.0021228203549981117, 0.9097940325737)"
"(524, 193)","(-35.3632612, 149.1652381, 9.57)","(-35.363241791606164, 149.16525879637464, 0)","(-0.0038926261477172375, -0.0017946925945580006, 0.909532368183136)"
"(524, 198)","(-35.3632612, 149.1652381, 9.57)","(-35.36324217204298, 149.16525912864176, 0)","(0.001247053500264883, -0.001465109409764409, 0.9093120694160461)"
"(524, 198)","(-35.3632612, 149.1652381, 9.57)","(-35.36324199125402, 149.16525894857728, 0)","(-0.0038254561368376017, -0.0013207278680056334, 0.9089420437812805)"
"(524, 186)","(-35.3632612, 149.1652381, 9.57)","(-35.363241569586194, 149.165258528842, 0)","(-0.003148292889818549, -0.0011045510182157159, 0.9087741374969482)"
"(524, 196)","(-35.3632612, 149.1652381, 9.57)","(-35.363242133556064, 149.1652590472981, 0)","(0.001993508543819189, -0.0009157447493635118, 0.908557116985321)"
"(525, 195)","(-35.3632612, 149.1652381, 9.57)","(-35.363241850554196, 149.1652588687929, 0)","(-0.003844177583232522, -0.0007622686098329723, 0.9083563685417175)"
"(526, 188)","(-35.3632612, 149.1652381, 9.57)","(-35.36324160064718, 149.1652587254461, 0)","(-0.0023483233526349068, -0.0006940139573998749, 0.9081647992134094)"
"(525, 196)","(-35.3632612, 149.1652381, 9.57)","(-35.36324207694861, 149.16525909022127, 0)","(0.0016358834691345692, -0.000857114908285439, 0.9080463647842407)"
"(525, 195)","(-35.3632612, 149.1652381, 9.57)","(-35.36324176210598, 149.16525887899098, 0)","(-0.003377131884917617, -0.0007267444743774831, 0.9078693985939026)"
"(527, 188)","(-35.3632612, 149.1652381, 9.57)","(-35.36324147313793, 149.1652587850575, 0)","(-0.002031695330515504, -0.0004983274848200381, 0.9077341556549072)"
"(527, 180)","(-35.3632612, 149.1652381, 9.57)","(-35.36324132712406, 149.16525863309843, 0)","(0.002220025286078453, -0.0003593084402382374, 0.9076176285743713)"
"(527, 183)","(-35.3632612, 149.1652381, 9.57)","(-35.36324122916345, 149.16525856698058, 0)","(-0.0033395166974514723, -0.0005859321099705994, 0.9074710011482239)"
"(528, 188)","(-35.3632612, 149.1652381, 9.57)","(-35.36324140889346, 149.16525882953871, 0)","(-0.002516085049137473, -0.000499088317155838, 0.9073222875595093)"
"(528, 177)","(-35.3632612, 149.1652381, 9.57)","(-35.36324116941276, 149.16525858669695, 0)","(0.0022335657849907875, -0.0004060385108459741, 0.9072587490081787)"
"(528, 180)","(-35.3632612, 149.1652381, 9.57)","(-35.36324106961692, 149.16525850079302, 0)","(-0.0035978187806904316, -0.00043889315566048026, 0.9071334600448608)"
"(528, 187)","(-35.3632612, 149.1652381, 9.57)","(-35.36324141178357, 149.16525882014906, 0)","(-0.0014297785237431526, -0.0003707751166075468, 0.9070322513580322)"
"(528, 185)","(-35.3632612, 149.1652381, 9.57)","(-35.363241446967, 149.16525887008657, 0)","(0.0018618113826960325, -0.0006350028561428189, 0.9070304036140442)"
"(528, 187)","(-35.3632612, 149.1652381, 9.57)","(-35.36324132394228, 149.16525875457492, 0)","(-0.003657998749986291, -0.0005876655923202634, 0.9069139957427979)"
