pixel,current_gps_lat,current_gps_lon,current_gps_alt,true_attitude_roll,true_attitude_pitch,true_attitude_yaw,estimated_gps_lat,estimated_gps_lon,timestamp
"(None, None)",40.9588859,29.1357974,-0.015,-0.056771181523799896,0.0011137319961562753,1.5877410173416138,,,1757045085.1064982
"(None, None)",40.9588859,29.1357974,-0.015,-0.056771181523799896,0.0011137319961562753,1.5877410173416138,,,1757045085.6110613
"(None, None)",40.9588859,29.1357974,-0.015,-0.056771181523799896,0.0011137319961562753,1.5877410173416138,,,1757045085.7121654
"(None, None)",40.9588859,29.1357974,-0.015,-0.056771181523799896,0.0011137319961562753,1.5877410173416138,,,1757045085.8126645
"(None, None)",40.9588859,29.1357974,-0.015,-0.056771181523799896,0.0011137319961562753,1.5877410173416138,,,1757045085.9158027
"(None, None)",40.9588859,29.1357974,-0.015,-0.056771181523799896,0.0011137319961562753,1.5877410173416138,,,1757045086.013936
"(None, None)",40.9588859,29.1357974,-0.015,-0.056771181523799896,0.0011137319961562753,1.5877410173416138,,,1757045086.1157064
"(None, None)",40.9588859,29.1357974,-0.015,-0.056771181523799896,0.0011137319961562753,1.5877410173416138,,,1757045086.2156992
"(None, None)",40.9588859,29.1357974,-0.015,-0.056771181523799896,0.0011137319961562753,1.5877410173416138,,,1757045086.3176708
"(None, None)",40.9588859,29.1357974,-0.015,-0.056771181523799896,0.0011137319961562753,1.5877410173416138,,,1757045086.4192328
"(None, None)",40.9588859,29.1357974,-0.015,-0.056771181523799896,0.0011137319961562753,1.5877410173416138,,,1757045086.518728
"(None, None)",40.9588859,29.1357974,-0.015,-0.056771181523799896,0.0011137319961562753,1.5877410173416138,,,1757045086.6188536
"(None, None)",40.9588859,29.1357974,-0.015,-0.056771181523799896,0.0011137319961562753,1.5877410173416138,,,1757045086.7198818
"(None, None)",40.9588859,29.1357974,-0.015,-0.056771181523799896,0.0011137319961562753,1.5877410173416138,,,1757045086.821507
"(None, None)",40.9588859,29.1357974,-0.015,-0.056771181523799896,0.0011137319961562753,1.5877410173416138,,,1757045086.921324
"(None, None)",40.9588859,29.1357974,-0.015,-0.056771181523799896,0.0011137319961562753,1.5877410173416138,,,1757045087.0231102
"(None, None)",40.9588859,29.1357974,-0.015,-0.056771181523799896,0.0011137319961562753,1.5877410173416138,,,1757045087.1245248
"(None, None)",40.9588859,29.1357974,-0.015,-0.056771181523799896,0.0011137319961562753,1.5877410173416138,,,1757045087.2260764
"(None, None)",40.9588859,29.1357974,-0.015,-0.056771181523799896,0.0011137319961562753,1.5877410173416138,,,1757045088.336285
"(None, None)",40.9588859,29.1357974,-0.015,-0.056771181523799896,0.0011137319961562753,1.5877410173416138,,,1757045088.4365492
"(None, None)",40.9588859,29.1357974,-0.015,-0.056771181523799896,0.0011137319961562753,1.5877410173416138,,,1757045088.5402381
"(None, None)",40.9588859,29.1357974,-0.015,-0.056771181523799896,0.0011137319961562753,1.5877410173416138,,,1757045134.0815954
"(None, None)",40.9588859,29.1357974,-0.015,-0.056771181523799896,0.0011137319961562753,1.5877410173416138,,,1757045135.1913311
"(None, None)",40.9588859,29.1357974,-0.015,-0.056771181523799896,0.0011137319961562753,1.5877410173416138,,,1757045168.6126678
"(None, None)",40.9588859,29.1357974,-0.015,-0.056771181523799896,0.0011137319961562753,1.5877410173416138,,,1757045168.713574
"(None, None)",40.9588859,29.1357974,-0.015,-0.056771181523799896,0.0011137319961562753,1.5877410173416138,,,1757045168.8160057
